 18604  91 lam   Cet Menkar(usually used for HD18884)                         2                     
 18622     the01 Eri Acamar                                                   2,15,17,19            
 18622     the01 Eri Akamar                                                  23,24                  
 18623     the02 Eri Akamar                                                  23                     
 18884  92 alf   Cet Menkar(also HD18604)                                     2,15,17,19,21,23,24   
 18884  92 alf   Cet Mekab                                                    2,17,21,23            
 18884  92 alf   Cet Menkab                                                   2,24                  
 18884  92 alf   Cet Monkar                                                   2                     
 18884  92 alf   Cet Mentar                                                  22                     
 19058  25 rho   Per Gorgonea Tertia                                          2                     
 19356  26 bet   Per Algol                                                    2,15,17,19            
 19356  26 bet   Per Gorgona                                                  2,17                  
 19356  26 bet   Per Gorgonea Prima; Demon Star; El Ghoul                     2                     
 19356  26 bet   Per Algol'                                                  23,24                  
 19356  26 bet   Per Rasehl'gul                                              24                     
 19356  26 bet   Per Al'gol'                                                 21                     
 19476  27 kap   Per Misam(also HD13994,158899)                              17,23                  
 19656  28 ome   Per Gorgonea Quarta                                          2                     
 19787  57 del   Ari Botein                                                   2,17                  
 19787  57 del   Ari Botejn                                                  23                     
 20320  13 zet   Eri Zibal                                                    2,17                  
 20902  33 alf   Per Mirphak                                                  2,19                  
 20902  33 alf   Per Mirfak(also HD145001)                                    2,15,17,21,23,24      
 20902  33 alf   Per Marfak;                                                  2                     
 20902  33 alf   Per Murfach                                                 22                     
 20902  33 alf   Per Algenib(also HD886)                                      2,17                  
 20902  33 alf   Per Al'genib                                                21                     
 20902  33 alf   Per Marfik                                                  24                     
 23180  38 omi   Per Atik(also HD24398); Ati; Al Atik                         2                     
 23180  38 omi   Per Atiks                                                   17                     
 23180  38 omi   Per Atik                                                    23                     
 23249  23 del   Eri Rana(see HD4128)                                         2,17,23               
 23288  16       Tau Celaeno                                                  2,17                  
 23288  16       Tau Celieno; Celeno; "Lost Pleiad"                           2                     
 23288  16       Tau Tselano                                                 21                     
 23288  16       Tau Tselena                                                 24                     
 23302  17       Tau Electra                                                  2,15,17               
 23302  17       Tau Ehlektra                                                21,23,24               
 23338  19 q     Tau Taygeta                                                  2,17                  
 23338  19 q     Tau Taygete                                                  2                     
 23338  19 q     Tau Tajgeta                                                 21,23,24               
 23408  20       Tau Maia                                                     2,17                  
 23408  20       Tau Majya                                                   21,23,24               
 23432  21       Tau Asterope                                                 2,17,21               
 23432  21       Tau Sterope I                                                2                     
 23432  21       Tau Asteropa                                                23,24                  
 23441  22       Tau Sterope II                                               2                     
 23480  23       Tau Merope                                                   2,17,21               
 23480  23       Tau Meropa                                                  23,24                  
 23630  25 eta   Tau Alcyone                                                  2,15,17,19            
 23630  25 eta   Tau Al'tsiona                                               23,24                  
 23630  25 eta   Tau Al'tsione                                               21                     
 23850  27       Tau Atlas                                                    2,15,17,23,24         
 23862  28       Tau Pleione                                                  2,17,19               
 23862  28       Tau Plejona                                                 23,24                  
 23862  28       Tau Plejone                                                 21                     
 24398  44 zet   Per Atik(also HD23180)                                      15                     
 24398  44 zet   Per Menkhib(also HD24912)                                   17                     
 24912  46 ksi   Per Menkib(also HD217906)                                    2,15,23               
 24912  46 ksi   Per Menkhib(also HD24398); Menchib                           2                     
 25025  34 gam   Eri Zaurak                                                   2,15,17,19,23         
 25025  34 gam   Eri Zaurac; Zaurack                                          2                     
 26574  38 omi01 Eri Beid                                                     2,15,17               
 26965  40 omi02 Eri Keid; Kied                                               2                     
 27371  54 gam   Tau Hyadum I                                                 2                     
 27697  61 del   Tau Hyadum II                                                2                     
 28305  74 eps   Tau Ain                                                      2,17                  
 28305  74 eps   Tau Oculus Boreus                                            2                     
 29139  87 alf   Tau Aldebaran                                                2,15,17,19,22         
 29139  87 alf   Tau Palilicium                                              17                     
 29139  87 alf   Tau Cor Tauri; Parilicium                                    2                     
 29139  87 alf   Tau Palilitsij; Paliliya                                    24                     
 29139  87 alf   Tau Al'debaran                                              21,23,24               
 29291  52 ups02 Eri Theemim; Beemin                                          2                     
 29291  52 ups02 Eri Theemin                                                 17                     
 29503  53 l     Eri Sceptrum                                                 2,17                  
 30652   1 pi.03 Ori Tabit (see HD36512)                                      2,17,23               
 31398   3 iot   Aur Hassaleh                                                 2,17                  
