   358  21 alf   And +  1, 2, 4,17,19,21,22,23                  
   358     del   Peg    2,19                                    
   358     alf   And    3, 5, 6,10,11,12,14,15                  
   693   6       Cet +  1, 2, 3, 4, 5,19,22                     
   693   6 f     Cet   17                                       
  2411  47 TV    Psc +  5,17,21,22                              
  2411  47       Psc    2, 3, 5,19                              
  2884     bet01 Tuc +  1, 2, 3, 4, 5,17,19,22,23               
  2884     bet   Tuc   21                                       
  2885     bet02 Tuc +  1, 2, 3, 4, 5,17,19,22                  
  2885     bet   Tuc   21                                       
  3919     mu.   Phe +  1, 2, 3, 5,17,19,21,22                  
  3919     omi   Phe   15                                       
  4161  21 YZ    Cas +  5,17,21,22                              
  4161  21       Cas    2, 4,12,15,19                           
  4161     YZ    Cas    5,14                                    
  4757  65 i     Psc + 17,21,22                                 
  4757  65       Psc    2, 3, 4, 5,19                           
  5457     lam02 Tuc +  2, 3, 5,15,19,21,22                     
  5457     lam   Tuc   17,19                                    
  5722  23 phi04 Cet +  2,17,19,22                              
  5722     phi04 Cet    5,21                                    
  5848   2       UMi + 17,22                                    
  5848   2       Cep    5,21                                    
  5848 285       Cep   23                                       
  6763  80 e     Psc + 17,19,21,22                              
  6763  80       Psc    2, 3, 5,16,17                           
  6972  32       Cas +  2, 4, 5,19,21,22                        
  6972  32 RU    Cas   17                                       
  7344  86 zet   Psc +  2,17,19,21,22                           
  7344  86 zet01 Psc    4                                       
  7344     zet   Psc    3, 5,15                                 
  7345  86 zet   Psc +  2,19,21                                 
  7345  86 zet02 Psc    4,22                                    
  7345     zet   Psc    3, 5,14,16                              
  7788     kap   Tuc +  1, 2, 3, 4, 5,16,19,21,22               
  7788     kap01 Tuc   17                                       
  7788     kap02 Tuc   17                                       
  7804  89 f     Psc +  4,17,19,22                              
  7804  89       Psc    2, 3, 5,15,21                           
  9053     gam   Phe +  1, 2, 3, 5, 6, 8, 9,15,17,19,21,22,23   
  9053     ups   Phe   14                                       
  9057  49 A     And +  4,17,21                                 
  9057  49 a     And   22                                       
  9057  49       And    2, 3, 5,19                              
  9826  50 ups   And +  1, 2, 4, 8,17,19,21,22,23               
  9826     nu.   And   14                                       
  9826     ups   And    3, 5, 6,15                              
  9927  51       And +  1, 2, 3, 4, 5, 8, 9,15,17,19,21,22,23   
  9927     ups   Per    2,19                                    
 10360     p     Eri +  3, 5,17,19                              
 10360   6 p     Eri   21,22                                    
 10516     phi   Per +  1, 2, 3, 4, 5,14,15,17,19,23            
 10516  54 phi   Per   21,22                                    
 10647     q01   Eri +  8,17,19,22                              
