Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 5631;H400 304 - UGC 9261;14h26m33s;56d34m57s;Ursa Major;Galaxy;11.4;12.6;2.0'x2.0';;11;-;-;XS(25/3);
NGC 5634;H400 305 - GCL 28 - Mel 126;14h29m37s;-05d58m35s;Virgo;Globular cluster;9.5;12.1;3.7'x3.7';;56;-;-;XS(35/4);
NGC 5676;H400 306 - UGC 9366;14h32m46s;49d27m23s;Bootes;Galaxy;11.1;13.0;3.9'x1.8';47;20;-;-;XS(42/6);
NGC 5689;H400 307 - UGC 9399;14h35m30s;48d44m28s;Bootes;Galaxy;11.8;12.8;3.3'x1.0';85;20;-;-;XS(37/6);
NGC 5694;Caldwell 66 - H400 308 - GCL 29;14h39m36s;-26d32m18s;Hydra;Globular cluster;10.2;11.7;2.2'x2.2';;80;-;-;XS(25/5);
NGC 5746;H400 309 - UGC 9499;14h44m56s;01d57m20s;Virgo;Galaxy;10.5;12.5;6.9'x1.2';170;56;-;-;XS(45/10);
NGC 5846;H400 310 - UGC 9706;15h06m29s;01d36m17s;Virgo;Galaxy;10.1;12.8;4.0'x3.7';;56;-;-;XS(31/3);
M 102;H400 311 - NGC 5866 - Spindle Galaxy Messier;15h06m30s;55d45m47s;Draco;Galaxy;9.8;12.8;6.5'x3.1';128;10;-;-;XS(148/22);
NGC 5897;H400 312 - GCL 33 - Mel 132;15h17m24s;-21d00m37s;Libra;Globular cluster;8.5;12.9;8.7'x8.7';;68;-;-;XS(43/3);
NGC 5907;H400 313 - Splinter Galaxy;15h15m54s;56d19m47s;Draco;Galaxy;10.4;13.1;11.8'x1.3';155;10;-;-;XS(102/18);
NGC 5982;H400 314 - UGC 9961;15h38m40s;59d21m20s;Draco;Galaxy;11.0;12.7;3.0'x2.1';110;10;-;-;XS(68/12);
NGC 6118;H400 315 - UGC 10350;16h21m49s;-02d17m03s;Serpens;Galaxy;11.7;13.8;4.7'x1.9';58;55;-;-;XS(36/3);
NGC 6144;H400 316 - GCL 42 - Mel 147;16h27m14s;-26d01m29s;Scorpius;Globular cluster;9.0;12.7;6.2'x6.2';;79;-;-;XS(60/6);
M 107;H400 317 - NGC 6171 - Mel 148;16h32m32s;-13d03m13s;Ophiuchus;Globular cluster;7.9;10.2;3.3'x3.3';;67;-;-;XS(143/13);
NGC 6207;H400 318 - UGC 10521;16h43m04s;36d49m53s;Hercules;Galaxy;11.4;12.5;3.0'x1.2';15;31;-;-;XS(138/16);
NGC 6217;H400 319 - UGC 10470 - Arp 185;16h32m39s;78d11m55s;Ursa Minor;Galaxy;11.0;13.3;3.3'x3.2';;3;-;-;XS(47/5);
NGC 6229;H400 320 - GCL 47;16h46m59s;47d31m40s;Hercules;Globular cluster;9.4;12.0;3.8'x3.8';;19;-;-;XS(115/14);
NGC 6235;H400 321 - GCL 48 - Mel 154;16h53m25s;-22d10m38s;Ophiuchus;Globular cluster;10.0;11.1;1.9'x1.9';;79;-;-;XS(35/2);
NGC 6284;H400 322 - GCL 53 - Mel 162;17h04m29s;-24d45m53s;Ophiuchus;Globular cluster;8.8;10.7;2.7'x2.7';;79;-;-;XS(43/2);
NGC 6287;H400 323 - GCL 54 - Mel 163;17h05m09s;-22d42m29s;Ophiuchus;Globular cluster;9.4;11.3;2.7'x2.7';;79;-;-;XS(38/2);
NGC 6293;H400 324 - GCL 55 - Mel 164;17h10m11s;-26d34m54s;Ophiuchus;Globular cluster;8.2;10.7;3.5'x3.5';;79;-;-;XS(45/4);
NGC 6304;H400 325 - GCL 56 - Mel 165;17h14m33s;-29d27m44s;Ophiuchus;Globular cluster;8.2;10.8;3.8'x3.8';;79;-;-;XS(31/2);
NGC 6316;H400 326 - GCL 57;17h16m38s;-28d08m24s;Ophiuchus;Globular cluster;8.4;10.0;2.4'x2.4';;79;-;-;XS(28/3);
NGC 6342;H400 327 - GCL 61;17h21m10s;-19d35m14s;Ophiuchus;Globular cluster;9.7;10.0;1.3'x1.3';;67;-;-;XS(45/2);
NGC 6355;H400 328 - GCL 63 - Cr 330;17h23m59s;-26d21m13s;Ophiuchus;Globular cluster;9.1;12.8;6.1'x6.1';;79;-;-;XS(32/3);
NGC 6356;H400 329 - GCL 62 - Mel 171;17h23m35s;-17d48m47s;Ophiuchus;Globular cluster;8.3;10.8;3.5'x3.5';;67;-;-;XS(57/5);
NGC 6369;H400 330 - PK 002+05.01 - Little Ghost Nebula;17h29m21s;-23d45m32s;Ophiuchus;Planetary nebula;11.4;10.1;38.0''x38.0'';;79;-;-;XS(56/7);
NGC 6401;H400 331 - GCL 73;17h38m37s;-23d54m32s;Ophiuchus;Globular cluster;9.5;9.2;1.0'x1.0';;79;-;-;XS(29/1);
NGC 6426;H400 332 - GCL 76 - Cr 346;17h44m55s;03d10m13s;Ophiuchus;Globular cluster;11.0;12.5;2.2'x2.2';;55;-;-;XS(45/4);
NGC 6440;H400 333 - GCL 77;17h48m53s;-20d21m34s;Sagittarius;Globular cluster;9.2;10.1;1.7'x1.7';;67;-;-;XS(50/4);
NGC 6445;H400 334 - PK 008+03.01;17h49m15s;-20d00m35s;Sagittarius;Planetary nebula;10.8;9.2;33.0''x33.0'';;67;-;-;XS(54/12);
NGC 6451;H400 335 - OCL 1035 - Tom Thumb Cluster - Cr 352 - Mel 181;17h50m41s;-30d12m42s;Scorpius;Open cluster;8.0;12.0;7.0'x7.0';;79;-;-;XS(26/2);
M 20;H400 336 - NGC 6514 - Trifid Nebula - Cr 360 - Markarian 34;18h02m42s;-22d58m19s;Sagittarius;Cluster with nebulosity;6.3;13.3;28.0'x28.0';;78;-;-;XS(230/27);
NGC 6517;H400 337 - GCL 81;18h01m51s;-08d57m32s;Ophiuchus;Globular cluster;10.2;9.9;1.0'x1.0';;66;-;-;XS(38/4);
NGC 6520;H400 338 - OCL 10 - Cr 361 - Mel 187 - Markarian 35;18h03m25s;-27d53m28s;Sagittarius;Open cluster;7.6;11.2;6.0'x6.0';;78;-;-;XS(50/3);
NGC 6522;H400 339 - GCL 82;18h03m34s;-30d02m02s;Sagittarius;Globular cluster;8.3;11.8;5.6'x5.6';;78;-;-;XS(50/5);
NGC 6528;H400 340 - GCL 84;18h04m49s;-30d03m21s;Sagittarius;Globular cluster;9.6;12.2;3.7'x3.7';;78;-;-;XS(43/6);
NGC 6540;H400 341 - Cr 364;18h06m09s;-27d45m55s;Sagittarius;Globular cluster;9.3;8.6;0.8'x0.8';;78;-;-;XS(33/2);
NGC 6543;Caldwell 6 - H400 342 - Cat Eye Nebula - PK 096+29.01;17h58m33s;66d37m59s;Draco;Planetary nebula;12.7;10.0;19.5''x19.5'';;10;-;-;XS(136/26);
NGC 6544;H400 343 - GCL 87 - Cr 366 - Mel 192;18h07m21s;-24d59m51s;Sagittarius;Globular cluster;7.8;12.2;8.4'x8.4';;78;-;-;XS(64/4);
NGC 6553;H400 344 - GCL 88 - Mel 193;18h09m15s;-25d54m28s;Sagittarius;Globular cluster;8.1;10.4;3.2'x3.2';;78;-;-;XS(57/4);
NGC 6568;H400 345 - OCL 28 - Cr 369;18h12m45s;-21d35m00s;Sagittarius;Open cluster;8.6;13.9;13.0'x13.0';;66;-;-;XS(33/4);
NGC 6569;H400 346 - GCL 91 - Mel 195;18h13m39s;-31d49m35s;Sagittarius;Globular cluster;8.6;12.2;5.8'x5.8';;78;-;-;XS(29/4);
NGC 6583;H400 347 - OCL 27 - Cr 370;18h15m49s;-22d08m15s;Sagittarius;Open cluster;10.0;12.0;2.8'x2.8';;78;-;-;XS(31/4);
NGC 6624;H400 348 - GCL 93 - Mel 199;18h23m41s;-30d21m40s;Sagittarius;Globular cluster;7.9;11.5;5.9'x5.9';;78;-;-;XS(49/3);
NGC 6629;H400 349 - PK 009-05.01;18h25m43s;-23d11m59s;Sagittarius;Planetary nebula;11.1;7.9;15.5''x15.5'';;78;-;-;XS(50/5);
NGC 6633;H400 350 - OCL 90 - Cr 380 - Mel 201;18h27m15s;06d30m30s;Ophiuchus;Open cluster;4.6;11.5;27.0'x27.0';;54;-;-;XS(94/7);
NGC 6638;H400 351 - GCL 95;18h30m56s;-25d29m47s;Sagittarius;Globular cluster;9.0;10.5;2.2'x2.2';;78;-;-;XS(61/5);
NGC 6642;H400 352 - GCL 97 - Cr 381 - Mel 203;18h31m54s;-23d28m35s;Sagittarius;Globular cluster;9.1;8.4;0.8'x0.8';;78;-;-;XS(56/5);
NGC 6645;H400 353 - OCL 48 - Cr 383 - Mel 205;18h32m38s;-16d53m02s;Sagittarius;Open cluster;8.5;13.2;10.0'x10.0';;66;-;-;XS(37/5);
NGC 6664;H400 354 - OCL 68 - Cr 385 - Mel 209;18h36m42s;-08d13m00s;Scutum;Open cluster;7.8;13.6;16.0'x16.0';;66;-;-;XS(52/4);
NGC 6712;H400 355 - GCL 103 - Mel 215;18h53m04s;-08d42m22s;Scutum;Globular cluster;8.1;11.0;4.3'x4.3';;66;-;-;XS(100/5);
NGC 6755;H400 356 - OCL 96 - Cr 397;19h07m49s;04d15m59s;Aquila;Open cluster;7.5;13.1;15.0'x15.0';;54;-;-;XS(68/8);
NGC 6756;H400 357 - OCL 99 - Cr 398;19h08m42s;04d42m21s;Aquila;Open cluster;10.6;13.4;4.0'x4.0';;54;-;-;XS(60/7);
NGC 6781;H400 358 - PK 041-02.01;19h18m28s;06d32m23s;Aquila;Planetary nebula;11.0;12.0;1.8'x1.8';;54;-;-;XS(112/21);
NGC 6802;H400 359 - OCL 114;19h30m36s;20d16m00s;Vulpecula;Open cluster;8.8;11.1;3.2'x3.2';;42;-;-;XS(84/10);
NGC 6818;H400 360 - PK 025-17.01 - Little Gem;19h43m58s;-14d09m07s;Sagittarius;Planetary nebula;9.2;6.6;20.0''x20.0'';;66;-;-;XS(87/9);
NGC 6823;H400 361 - OCL 124 - Cr 405 - Markarian 42;19h43m10s;23d18m00s;Vulpecula;Open cluster;7.1;12.2;12.0'x12.0';;30;-;-;XS(81/9);
NGC 6826;Caldwell 15 - H400 362 - PK 083+12.01 - Blinking Planetary;19h44m48s;50d31m30s;Cygnus;Planetary nebula;10.0;7.9;25.0''x25.0'';;18;-;-;XS(135/24);
NGC 6830;H400 363 - OCL 125 - Cr 406 - Mel 224;19h51m00s;23d06m00s;Vulpecula;Open cluster;7.9;13.0;12.0'x12.0';;30;-;-;XS(72/7);
NGC 6834;H400 364 - OCL 134 - Cr 407 - Mel 225;19h52m12s;29d24m29s;Cygnus;Open cluster;7.8;11.0;5.0'x5.0';;30;-;-;XS(59/5);
NGC 6866;H400 365 - OCL 183 - Cr 412 - Mel 229;20h03m55s;44d09m33s;Cygnus;Open cluster;7.6;11.6;7.0'x7.0';;17;-;-;XS(67/9);
NGC 6882;H400 366 - Cr 416 - OCL 133;20h11m35s;26d32m04s;Vulpecula;Open cluster;8.1;8.7;8.0'x8.0';;29;-;-;XS(54/7);
NGC 6885;Caldwell 37 - H400 367 - Lund 933 - 20 Vulpeculae Cluster - Cr 417 - OCL 132;20h11m58s;26d29m00s;Vulpecula;Open cluster;5.7;9.7;22.0'x22.0';;29;-;-;XS(70/11);
NGC 6905;H400 368 - PK 061-09.01 - Blue Flash Nebula;20h22m22s;20d06m18s;Delphinus;Planetary nebula;10.8;9.6;0.7'x0.7';;41;-;-;XS(115/24);
NGC 6910;H400 369 - OCL 181 - Cr 420 - Rocking horse cluster - Markarian 45;20h23m12s;40d46m43s;Cygnus;Open cluster;7.4;11.7;8.0'x8.0';;17;-;-;XS(89/11);
NGC 6934;Caldwell 47 - H400 370 - GCL 117 - Mel 230;20h34m12s;07d24m15s;Delphinus;Globular cluster;8.8;12.5;6.2'x6.2';;41;-;-;XS(126/17);
NGC 6939;H400 371 - OCL 217 - Cr 423 - Mel 231;20h31m30s;60d39m43s;Cepheus;Open cluster;7.8;12.1;8.0'x8.0';;9;-;-;XS(128/7);
NGC 6940;H400 372 - OCL 141 - Cr 424 - Mel 232;20h34m27s;28d16m58s;Vulpecula;Open cluster;6.3;13.5;31'x31';;29;-;-;XS(88/9);
NGC 6946;Caldwell 12 - H400 373 - UGC 11597 - Arp 29;20h34m52s;60d09m10s;Cygnus;Galaxy;8.9;13.7;11.2'x9.8';;9;-;-;XS(145/20);
NGC 7000;Caldwell 20 - H400 374 - LBN 373 - North America Nebula;20h59m30s;44d20m00s;Cygnus;H-II;4.0;0.0;180'x100';170;17;-;-;XS(187/15);
NGC 7006;Caldwell 42 - H400 375 - GCL 119;21h01m30s;16d11m15s;Delphinus;Globular cluster;10.6;12.1;2.2'x2.2';;41;-;-;XS(113/15);
NGC 7008;H400 376 - PK 093+05.02 - Embryo Nebula;21h00m33s;54d32m29s;Cygnus;Planetary nebula;12.0;12.5;1.4'x1.4';;8;-;-;XS(120/18);
NGC 7009;Caldwell 55 - H400 377 - PK 037-34.01 - Saturn Nebula;21h04m11s;-11d21m57s;Aquarius;Planetary nebula;7.0;5.1;28.5''x28.5'';;65;-;-;XS(150/17);
NGC 7044;H400 378 - OCL 198 - Cr 433;21h13m09s;42d29m46s;Cygnus;Open cluster;11.3;15.6;6.0'x6.0';;17;-;-;XS(48/4);
NGC 7062;H400 379 - OCL 205 - Cr 434;21h23m27s;46d22m43s;Cygnus;Open cluster;8.3;12.3;7.0'x7.0';;17;-;-;XS(54/5);
NGC 7086;H400 380 - OCL 214 - Cr 437;21h30m27s;51d36m02s;Cygnus;Open cluster;8.4;12.9;9.0'x9.0';;17;-;-;XS(49/4);
NGC 7128;H400 381 - OCL 218 - Cr 440;21h43m58s;53d42m55s;Cygnus;Open cluster;9.7;11.9;3.1'x3.1';;8;-;-;XS(46/5);
NGC 7142;H400 382 - OCL 241 - Cr 442;21h45m09s;65d46m28s;Cepheus;Open cluster;9.3;12.2;4.3'x4.3';;8;-;-;XS(55/5);
NGC 7160;H400 383 - OCL 236 - Cr 443;21h53m40s;62d36m12s;Cepheus;Open cluster;6.1;10.1;7.0'x7.0';;8;-;-;XS(62/7);
NGC 7209;H400 384 - OCL 215 - Mel 238;22h05m08s;46d29m01s;Lacerta;Open cluster;7.7;14.4;25.0'x25.0';;16;-;-;XS(65/5);
NGC 7217;H400 385 - UGC 11914;22h07m52s;31d21m32s;Pegasus;Galaxy;10.2;12.8;4.0'x3.4';95;28;-;-;XS(66/13);
NGC 7243;Caldwell 16 - H400 386 - OCL 221 - Cr 448 - Mel 240;22h15m09s;49d53m51s;Lacerta;Open cluster;6.4;12.8;21.0'x21.0';;16;-;-;XS(63/5);
NGC 7296;H400 387 - OCL 228 - Cr 451;22h28m02s;52d16m24s;Lacerta;Open cluster;8.7;11.5;4.0'x4.0';;8;-;-;XS(43/7);
NGC 7331;Caldwell 30 - H400 388 - UGC 12113;22h37m05s;34d25m11s;Pegasus;Galaxy;9.5;13.3;10.2'x4.2';171;28;-;-;XS(218/29);
NGC 7380;H400 389 - OCL 244 - Cr 452 - Markarian 48;22h47m36s;58d04m00s;Cepheus;H-II;0.0;0.0;15.0'x11.0';90;8;-;-;XS(63/7);
NGC 7448;H400 390 - UGC 12294 - Arp 13;23h00m04s;15d58m46s;Pegasus;Galaxy;11.4;12.4;2.6'x1.2';170;40;-;-;XS(66/12);
NGC 7479;Caldwell 44 - H400 391 - UGC 12343;23h04m57s;12d19m18s;Pegasus;Galaxy;10.8;13.3;4.0'x3.1';25;40;-;-;XS(101/17);
NGC 7510;H400 392 - OCL 256 - Cr 454 - Markarian 49;23h11m04s;60d34m15s;Cepheus;Open cluster;7.9;10.7;4.0'x4.0';;8;-;-;XS(75/11);
NGC 7606;H400 393 - MCG -02-59-012;23h19m05s;-08d29m13s;Aquarius;Galaxy;10.7;12.9;4.2'x2.3';145;64;-;-;XS(47/6);
NGC 7662;Caldwell 22 - H400 394 - PK 106-17.01 - Blue Snowball;23h25m54s;42d32m06s;Andromeda;Planetary nebula;9.4;6.4;17.0''x17.0'';;16;-;-;YS(170/1);20150912
NGC 7686;H400 395 - OCL 251 - Cr 456;23h30m07s;49d08m03s;Andromeda;Open cluster;5.6;11.2;15.0'x15.0';;16;-;-;XS(61/7);
NGC 7723;H400 396 - MCG -02-60-005;23h38m57s;-12d57m42s;Aquarius;Galaxy;11.1;13.1;3.5'x2.2';35;64;-;-;XS(39/5);
NGC 7727;H400 397 - MCG -02-60-008 - Arp 222;23h39m54s;-12d17m36s;Aquarius;Galaxy;10.6;13.6;4.7'x4.1';35;64;-;-;XS(43/7);
NGC 7789;H400 398 - OCL 269 - Cr 460 - Mel 245;23h57m24s;56d42m30s;Cassiopeia;Open cluster;6.7;12.5;16.0'x16.0';;8;-;-;XS(161/6);
NGC 7790;H400 399 - OCL 276 - Cr 461;23h58m24s;61d12m30s;Cassiopeia;Open cluster;8.5;14.4;17.0'x17.0';;8;-;-;XS(70/7);
NGC 7814;Caldwell 43 - H400 400 - HII 399 - UGC 8;00h03m15s;16d08m41s;Pegasus;Galaxy;10.7;13.1;4.7'x2.4';135;51;-;-;XS(89/14);
