Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 3893;H400 187 - UGC 6778;11h48m38s;48d42m39s;Ursa Major;Galaxy;10.1;12.4;4.5'x2.4';165;22;-;-;XS(37/5);
NGC 3898;H400 188 - UGC 6787;11h49m15s;56d05m03s;Ursa Major;Galaxy;10.7;12.9;3.8'x2.6';107;12;-;-;XS(29/4);
NGC 3900;H400 189 - UGC 6786;11h49m09s;27d01m16s;Leo;Galaxy;11.3;13.0;3.5'x1.8';2;34;-;-;XS(31/6);
NGC 3912;H400 190;11h50m05s;26d28m47s;Leo;Galaxy;12.6;12.7;1.5'x0.9';5;34;-;-;XS(29/5);
NGC 3938;H400 191 - UGC 6856;11h52m49s;44d07m15s;Ursa Major;Galaxy;10.1;13.4;5.1'x5.0';;22;-;-;XS(25/3);
NGC 3941;H400 192 - UGC 6857;11h52m55s;36d59m11s;Ursa Major;Galaxy;10.3;12.4;3.5'x2.5';10;34;-;-;XS(25/5);
NGC 3945;H400 193 - UGC 6860;11h53m14s;60d40m29s;Ursa Major;Galaxy;10.4;13.1;5.0'x3.0';160;12;-;-;XS(30/3);
NGC 3949;H400 194 - UGC 6869;11h53m41s;47d51m34s;Ursa Major;Galaxy;10.6;12.1;2.9'x1.7';120;22;-;-;XS(30/3);
NGC 3953;H400 195 - UGC 6870;11h53m48s;52d19m28s;Ursa Major;Galaxy;9.8;13.0;6.9'x3.6';13;12;-;-;XS(46/6);
NGC 3962;H400 196 - MCG -02-30-040;11h54m40s;-13d58m31s;Crater;Galaxy;10.6;12.8;3.4'x2.8';15;70;-;-;XS(19/4);
NGC 3982;H400 197 - UGC 6918;11h56m28s;55d07m28s;Ursa Major;Galaxy;11.1;12.5;2.3'x2.0';;12;-;-;XS(41/5);
M 109;H400 198 - NGC 3992;11h57m35s;53d22m23s;Ursa Major;Galaxy;9.8;13.3;7.5'x4.4';68;12;-;-;XS(180/17);
NGC 3998;H400 199 - UGC 6946;11h57m56s;55d27m12s;Ursa Major;Galaxy;10.6;12.3;2.7'x2.3';140;12;-;-;XS(42/6);
NGC 4026;H400 200 - UGC 6985;11h59m25s;50d57m41s;Ursa Major;Galaxy;10.7;12.3;4.7'x1.2';178;22;-;-;XS(30/4);
NGC 4027;H400 201 - ESO 572-37;11h59m30s;-19d15m59s;Corvus;Galaxy;11.0;13.0;3.3'x2.4';167;70;-;-;XS(31/6);
NGC 4030;H400 202 - UGC 6993;12h00m23s;-01d06m04s;Virgo;Galaxy;10.6;13.2;4.2'x3.2';27;57;-;-;XS(26/3);
NGC 4036;H400 203 - UGC 7005;12h01m27s;61d53m44s;Ursa Major;Galaxy;10.5;12.4;4.0'x1.8';85;11;-;-;XS(32/4);
NGC 4038;Caldwell 60 - H400 204 - ESO 572-47;12h01m53s;-18d51m54s;Corvus;Galaxy;10.3;12.1;3.4'x2.0';80;69;-;-;XS(58/9);
NGC 4041;H400 205 - UGC 7014;12h02m12s;62d08m11s;Ursa Major;Galaxy;11.1;13.0;2.7'x2.6';;11;-;-;XS(33/5);
NGC 4051;H400 206 - UGC 7030;12h03m10s;44d31m53s;Ursa Major;Galaxy;10.0;13.2;5.3'x4.4';135;21;-;-;XS(35/4);
NGC 4085;H400 207 - UGC 7075;12h05m23s;50d21m10s;Ursa Major;Galaxy;11.9;12.4;2.5'x0.8';78;21;-;-;XS(40/6);
NGC 4088;H400 208 - UGC 7081 - Arp 18;12h05m34s;50d32m24s;Ursa Major;Galaxy;10.3;12.7;5.6'x2.1';43;21;-;-;XS(69/11);
NGC 4102;H400 209 - UGC 7096;12h06m23s;52d42m37s;Ursa Major;Galaxy;11.3;12.8;3.1'x1.7';38;11;-;-;XS(28/5);
NGC 4111;H400 210 - UGC 7103;12h07m03s;43d03m58s;Canes Venatici;Galaxy;10.7;12.1;4.6'x1.0';150;21;-;-;XS(55/10);
NGC 4143;H400 211 - UGC 7142;12h09m36s;42d32m02s;Canes Venatici;Galaxy;10.8;12.4;2.9'x1.9';144;21;-;-;XS(29/4);
NGC 4147;H400 212 - NGC 4153;12h10m06s;18d32m31s;Coma Berenices;Globular cluster;9.3;12.1;4.1'x4.1';;45;-;-;XS(51/7);
